鄉鎮市區,交易標的,臨路,土地移轉坪數,都市土地使用分區,總樓層,頂樓註記,屋齡,建物移轉坪數,管理組織,車位總面積,單價,車位總價
鳳山區,房地(土地+建物)+車位,Y,4.88,住宅區,14,N,23.6,45.86,Y,0,26.2,0
左營區,房地(土地+建物)+車位,Y,2.09,商業區,13,N,24.8,32.03,Y,0,16.4,0
新興區,房地(土地+建物)+車位,Y,3.23,商業區,15,N,6.5,40.45,Y,0,20.6,0
楠梓區,房地(土地+建物),Y,2.55,商業區,15,N,6.6,25.64,Y,0,14,0
三民區,房地(土地+建物)+車位,Y,5.43,住宅區,15,N,0.6,52.1,Y,8.14,33.5,200
鼓山區,房地(土地+建物)+車位,Y,4.69,住宅區,15,N,7.8,51.4,Y,0,25.1,0
前金區,房地(土地+建物)+車位,Y,10.24,商業區,34,Y,9.1,273.41,Y,14.96,39.5,0
苓雅區,房地(土地+建物),Y,2.45,商業區,15,N,0.4,31.45,Y,0,24.8,0
鼓山區,房地(土地+建物)+車位,Y,6.35,住宅區,14,N,14.1,46.46,Y,6.82,20.4,120
楠梓區,房地(土地+建物),Y,4.95,住宅區,13,N,24.8,30.45,Y,0,9.9,0
岡山區,房地(土地+建物)+車位,N,9.11,住宅區,12,Y,24.3,55.69,Y,0,8.1,0
三民區,房地(土地+建物)+車位,Y,12.96,住宅區,14,N,21.6,93.65,Y,11.46,10.6,0
左營區,房地(土地+建物)+車位,Y,4.52,住宅區,22,N,20.9,64.51,Y,8.91,12.9,0
苓雅區,房地(土地+建物),Y,1.82,商業區,15,N,0.4,23.3,Y,0,25.2,0
三民區,房地(土地+建物),Y,1.42,商業區,12,N,26.8,17.53,Y,0,14.3,0
前鎮區,房地(土地+建物),Y,1.26,住宅區,27,N,22.2,25.73,Y,0,15.1,0
楠梓區,房地(土地+建物)+車位,Y,3.05,商業區,15,N,5.3,32.06,Y,0,14.9,0
仁武區,房地(土地+建物)+車位,Y,6.14,住宅區,14,N,0.7,47.6,Y,10.52,15.8,85
鼓山區,房地(土地+建物)+車位,Y,7.75,住宅區,14,N,14.8,46.81,Y,0,20.1,0
左營區,房地(土地+建物),Y,3.23,住宅區,14,N,0.8,30.59,Y,0,23.5,0
左營區,房地(土地+建物)+車位,Y,5.96,住宅區,14,N,0.8,48.22,Y,5.56,23,0
仁武區,房地(土地+建物)+車位,Y,4.43,住宅區,14,N,0.7,36.7,Y,10.52,17,95
鼓山區,房地(土地+建物)+車位,Y,9.88,住宅區,21,N,0.5,101.83,Y,23.88,22.3,396
楠梓區,房地(土地+建物)+車位,Y,8.78,住宅區,15,N,3.9,62.93,Y,7.59,17.9,130
三民區,房地(土地+建物)+車位,N,2.71,商業區,29,N,0.8,47.24,Y,11.39,20.4,0
鼓山區,房地(土地+建物)+車位,Y,6.39,商業區,36,N,3.7,109.06,Y,11.61,52.9,520
左營區,房地(土地+建物)+車位,N,8.61,住宅區,15,Y,13.3,74.45,Y,8,19.5,0
鼓山區,房地(土地+建物),Y,5.02,住宅區,11,Y,36.9,23.47,N,0,11.1,0
鳥松區,房地(土地+建物)+車位,Y,7.95,住宅區,15,N,2.7,47.53,Y,4.65,14.6,0
鼓山區,房地(土地+建物)+車位,Y,17.63,商業區,36,N,3.7,301.13,Y,23.22,61.7,1440
三民區,房地(土地+建物),Y,2.89,商業區,21,N,22.8,37.84,Y,0,13.7,0
小港區,房地(土地+建物)+車位,Y,5.19,住宅區,15,N,3.7,34.8,N,4.14,18.4,0
鼓山區,房地(土地+建物),Y,1.11,商業區,16,N,27.9,14.31,Y,0,12,0
鼓山區,房地(土地+建物)+車位,Y,3.6,商業區,14,N,13.9,46.86,Y,9.61,17.1,0
鼓山區,房地(土地+建物)+車位,Y,3.6,商業區,15,N,3.5,39.04,Y,0,23.3,0
楠梓區,房地(土地+建物),Y,2.66,住宅區,20,N,5.1,25.22,Y,0,17.2,0
鼓山區,房地(土地+建物)+車位,Y,7.6,住宅區,21,N,0.5,78.01,Y,11.94,24.4,188
左營區,房地(土地+建物)+車位,Y,3.42,商業區,16,N,24.3,46.27,Y,0,11.2,0
鼓山區,房地(土地+建物),Y,3.43,商業區,15,N,13.7,27.53,Y,0,21.4,0
鼓山區,房地(土地+建物)+車位,Y,5.77,住宅區,29,N,0.6,74.81,Y,11.09,26.7,300
鼓山區,房地(土地+建物)+車位,Y,5.77,住宅區,29,N,0.6,73.8,Y,12.59,24.5,320
鼓山區,房地(土地+建物)+車位,Y,7.38,商業區,38,N,3.8,127.05,N,0,22.4,0
左營區,房地(土地+建物)+車位,Y,3.64,商業區,15,N,5.4,43.44,Y,0,20.3,0
鳳山區,房地(土地+建物),N,6.13,住宅區,15,N,25.6,37.77,Y,0,11.5,0
楠梓區,房地(土地+建物),Y,1.73,商業區,23,N,1.2,25.3,Y,0,16.6,0
三民區,房地(土地+建物),N,3.34,商業區,29,N,0.8,43.08,Y,0,23.4,0
三民區,房地(土地+建物)+車位,Y,6.7,商業區,28,N,3.8,108.09,Y,17.25,18.4,280
小港區,房地(土地+建物)+車位,Y,5.94,住宅區,11,N,4.2,53.1,N,8.65,13.4,0
鳳山區,房地(土地+建物),Y,4.96,住宅區,15,N,26.7,40.38,N,0,13.7,0
前鎮區,房地(土地+建物)+車位,Y,4.27,商業區,15,N,0.4,40.93,Y,0,17.2,0
楠梓區,房地(土地+建物)+車位,Y,4.86,住宅區,15,N,0.2,35.49,Y,0,19.2,0
前鎮區,房地(土地+建物)+車位,Y,4.27,商業區,15,N,0.4,40.93,Y,0,18.6,0
前鎮區,房地(土地+建物)+車位,Y,5.61,住宅區,18,N,2.1,57.57,Y,4.61,23.8,185
前金區,房地(土地+建物)+車位,Y,2.14,商業區,28,N,0.8,45.99,Y,13.97,23.3,0
苓雅區,房地(土地+建物),Y,1.17,商業區,12,Y,24.8,14.87,Y,0,20.6,0
左營區,房地(土地+建物)+車位,Y,13.93,住宅區,25,N,4,117.59,Y,15.95,27.9,0
湖內區,房地(土地+建物),N,4.8,住宅區,14,N,25,38.08,Y,0,5.4,0
楠梓區,房地(土地+建物)+車位,Y,7.72,商業區,15,N,4.7,55.95,Y,5.41,15.7,0
