鄉鎮市區,臨路,都市土地使用分區,屋齡,管理組織,單價,車位總價
鼓山區,Y,住宅區,0.6,Y,28.6,160
鳳山區,Y,住宅區,20.4,Y,13.5,0
鼓山區,Y,住宅區,4.8,Y,28.3,0
鳳山區,Y,住宅區,5.4,Y,17.2,0
前鎮區,Y,商業區,0.4,Y,17.9,0
左營區,N,住宅區,19.4,Y,11.6,0
鼓山區,Y,住宅區,0.6,Y,30.2,320
鳳山區,Y,住宅區,6.1,Y,15.2,0
苓雅區,Y,商業區,20.7,Y,17.2,0
鼓山區,Y,商業區,13.4,Y,22.3,70
三民區,Y,住宅區,22,Y,15.9,130
鳳山區,Y,住宅區,7.9,Y,14.3,0
鼓山區,Y,住宅區,6.8,Y,20.7,0
鼓山區,Y,住宅區,16.8,Y,15.4,0
鳳山區,Y,住宅區,25,Y,12.6,0
三民區,N,住宅區,5.1,Y,24.9,0
鳳山區,Y,住宅區,2.9,Y,15.1,0
苓雅區,Y,住宅區,0.9,Y,22.1,0
左營區,Y,住宅區,19.3,Y,16.8,0
楠梓區,Y,住宅區,0.6,Y,16.7,46
三民區,N,商業區,0.8,Y,25.8,0
鼓山區,Y,住宅區,36.9,Y,13.2,0
鳥松區,N,住宅區,22.5,Y,12.6,0
鼓山區,Y,住宅區,13.6,Y,20,0
鼓山區,Y,商業區,29.3,Y,12.9,0
楠梓區,N,住宅區,26.2,Y,9.7,0
左營區,Y,住宅區,1.8,Y,27.1,420
鼓山區,Y,住宅區,8.2,Y,15.2,0
鼓山區,Y,住宅區,2.1,Y,30,380
左營區,Y,住宅區,1.9,Y,19.5,0
鳳山區,Y,住宅區,19.2,Y,11.1,0
鳳山區,Y,住宅區,7.8,Y,21.6,0
左營區,Y,住宅區,3.9,Y,30,440
鼓山區,Y,商業區,10.3,Y,19.4,0
苓雅區,Y,商業區,1.6,Y,25.4,0
鼓山區,Y,商業區,15.2,Y,19.6,0
鳳山區,Y,住宅區,4.3,Y,18.7,0
鳳山區,Y,住宅區,0.8,Y,21.6,0
左營區,Y,商業區,22.6,Y,14.5,0
鳳山區,Y,住宅區,5.2,Y,19.5,0
左營區,Y,住宅區,0.8,Y,22.3,0
左營區,Y,商業區,1.3,Y,22.8,0
鼓山區,Y,住宅區,14.1,Y,17.4,0
三民區,N,商業區,10,Y,17.6,0
鳳山區,Y,住宅區,2.9,Y,15.3,0
前鎮區,Y,商業區,5,Y,18.5,0
新興區,Y,商業區,1,Y,30.3,0
鼓山區,Y,住宅區,12.8,Y,22.1,0
左營區,Y,住宅區,11.5,Y,14.7,0
三民區,Y,住宅區,7.4,Y,23.6,0
小港區,Y,住宅區,4.2,Y,13.1,0
前鎮區,Y,商業區,13.1,Y,19.7,0
左營區,Y,住宅區,11.5,Y,15.5,0
三民區,Y,商業區,26.9,N,11.2,0
鳳山區,Y,住宅區,6.1,Y,17.1,0
左營區,Y,商業區,0.6,Y,28.2,150
左營區,Y,住宅區,0.8,Y,22.6,0
三民區,N,商業區,0.8,Y,24.5,0
三民區,Y,商業區,9.5,Y,16.4,0
左營區,Y,商業區,0.6,Y,30.6,150
前鎮區,Y,商業區,13.3,Y,18.3,0
前鎮區,Y,住宅區,2.1,Y,27.6,0
前鎮區,Y,商業區,17.4,Y,12.7,0
左營區,Y,住宅區,0.3,Y,20.2,0
楠梓區,Y,住宅區,5.1,Y,14.8,0
左營區,Y,住宅區,16.9,Y,18.1,0
苓雅區,Y,商業區,1.5,Y,21.5,190
左營區,Y,商業區,0.6,Y,28.2,150
左營區,Y,住宅區,0.3,Y,19.3,0
三民區,N,住宅區,7.1,Y,16.6,0
鳳山區,Y,住宅區,1.3,Y,18.8,0
前鎮區,Y,住宅區,6.5,Y,20.3,0
苓雅區,N,住宅區,22.1,N,13.4,0
楠梓區,Y,商業區,1.2,Y,16.2,0
鼓山區,Y,商業區,15.4,Y,17.3,0
楠梓區,Y,住宅區,10.8,Y,14.1,0
茄萣區,Y,住宅區,23.6,N,4.6,0
三民區,Y,住宅區,22.5,Y,16.5,0
鳥松區,Y,住宅區,22.9,Y,10.9,0
楠梓區,N,住宅區,26.3,Y,9.7,0
前金區,Y,住宅區,23.6,Y,18.9,0
左營區,Y,商業區,1.3,Y,23.4,0
楠梓區,Y,商業區,26.6,Y,10.5,0
楠梓區,Y,住宅區,23.5,Y,9.6,0
苓雅區,N,商業區,22.3,Y,11.3,0
苓雅區,Y,住宅區,15,Y,22.5,0
三民區,N,住宅區,7.1,Y,16.7,0
左營區,Y,商業區,0.6,Y,39.8,210
楠梓區,Y,住宅區,29.6,Y,9.8,0
三民區,Y,商業區,5.8,Y,24.2,0
鼓山區,Y,住宅區,14.8,Y,18.9,0
左營區,Y,住宅區,0.3,Y,20.4,0
鼓山區,Y,商業區,13.4,Y,20.7,0
左營區,Y,商業區,5.6,Y,24.3,168
左營區,Y,住宅區,8.1,Y,16.7,80
鳳山區,Y,住宅區,1.3,Y,18.9,0
鳳山區,Y,住宅區,2.1,Y,20.3,0
左營區,N,住宅區,26,Y,15.3,0
三民區,Y,住宅區,12.8,Y,15.5,0
三民區,Y,住宅區,20.4,Y,11.9,0
鼓山區,Y,商業區,15.4,Y,18.2,0
岡山區,Y,住宅區,22.7,Y,10.1,0
左營區,Y,住宅區,0.8,Y,25.5,0
鼓山區,Y,商業區,0.8,Y,27.8,0
前鎮區,Y,住宅區,22.2,Y,15.1,0
前金區,Y,商業區,0.8,Y,24.7,0
楠梓區,Y,商業區,1.5,Y,15.1,0
橋頭區,Y,住宅區,0.3,Y,17.9,0
鳥松區,Y,住宅區,2.8,Y,23.3,0
楠梓區,Y,住宅區,26.2,Y,15.8,0
鳳山區,Y,住宅區,18.8,Y,18.2,0
左營區,Y,商業區,4.6,Y,16.2,0
楠梓區,Y,住宅區,0.2,Y,17.8,0
鳥松區,Y,住宅區,2.8,Y,22.6,0
鳳山區,Y,住宅區,23.8,Y,11.9,0
鳳山區,N,住宅區,18.1,Y,14.6,0
鼓山區,Y,住宅區,2.9,Y,20.3,0
三民區,Y,商業區,25.5,N,10.4,0
橋頭區,Y,住宅區,0.3,Y,17.9,0
鳳山區,Y,住宅區,0.8,Y,18,0
左營區,Y,商業區,23.5,Y,18.5,0
小港區,Y,住宅區,4.2,Y,13.1,0
苓雅區,Y,商業區,1.3,Y,23.7,0
前金區,Y,商業區,10.4,Y,21,0
前鎮區,Y,住宅區,2.1,Y,23,185
仁武區,Y,商業區,1.7,Y,19.7,0
前鎮區,Y,商業區,20.4,Y,18.4,0
左營區,Y,住宅區,13.6,Y,17.5,0
楠梓區,N,住宅區,2.5,Y,20.3,0
苓雅區,Y,商業區,4.8,Y,27.3,0
左營區,Y,住宅區,0.8,Y,22.7,0
三民區,Y,住宅區,4.9,Y,20.6,0
鳳山區,Y,住宅區,22.1,Y,12.8,0
小港區,Y,住宅區,13.2,Y,13,0
左營區,Y,商業區,1.3,Y,24.3,0
鳳山區,Y,住宅區,22.4,N,13,0
左營區,N,住宅區,22.8,Y,14,0
鼓山區,Y,住宅區,0.6,Y,30.5,300
苓雅區,Y,商業區,4.8,Y,31.8,0
左營區,Y,住宅區,5,Y,28.9,490
鼓山區,Y,住宅區,0.6,Y,32.5,160
鳳山區,Y,住宅區,23.6,Y,17.4,0
三民區,N,住宅區,7.1,Y,16.7,0
新興區,Y,商業區,0.8,Y,24.1,0
鳳山區,Y,住宅區,7.3,Y,16.6,0
鳥松區,Y,住宅區,2.7,Y,15.4,0
新興區,Y,商業區,17.3,N,18.6,0
鼓山區,Y,商業區,0.8,Y,28.9,0
前鎮區,Y,住宅區,2.1,Y,24.7,185
鹽埕區,Y,商業區,0.7,N,22.6,0
鼓山區,Y,住宅區,14.1,Y,19.5,0
鳳山區,Y,住宅區,7.2,Y,9.4,0
三民區,Y,住宅區,0.6,Y,33.4,180
左營區,Y,住宅區,0.7,Y,32,340
左營區,Y,住宅區,23.8,Y,11.1,0
仁武區,Y,住宅區,0.7,Y,17.8,210
左營區,Y,住宅區,21.4,Y,15.1,0
三民區,Y,住宅區,18.7,Y,14.8,0
左營區,Y,住宅區,33.7,N,10,0
鼓山區,Y,商業區,0.8,Y,27.4,0
苓雅區,Y,商業區,15.3,Y,22.1,0
楠梓區,Y,商業區,1.5,Y,16.6,0
楠梓區,N,商業區,6.2,N,16.9,0
楠梓區,Y,住宅區,3.6,Y,15.4,0
三民區,Y,住宅區,2,Y,22,0
三民區,Y,商業區,9.5,Y,16,0
前金區,Y,商業區,0.8,Y,24.2,0
楠梓區,Y,住宅區,5.8,Y,13.4,0
楠梓區,N,住宅區,23.5,Y,10.1,0
橋頭區,Y,住宅區,1.9,Y,17.8,0
楠梓區,Y,住宅區,0.2,Y,18.5,0
鳳山區,Y,住宅區,25.6,Y,12.2,0
三民區,Y,住宅區,23.1,Y,15.9,0
鼓山區,Y,住宅區,12.7,N,16.2,0
前鎮區,Y,住宅區,10,Y,13.5,0
小港區,Y,住宅區,24.5,Y,10.1,0
鳳山區,Y,住宅區,1.3,Y,18.9,0
三民區,Y,商業區,24.3,Y,14.7,0
橋頭區,Y,住宅區,25.1,Y,9.9,0
鼓山區,Y,住宅區,6.1,Y,20.7,0
前鎮區,Y,商業區,0.2,Y,27.5,180
大社區,N,住宅區,23.8,Y,10.3,0
橋頭區,Y,商業區,0.6,Y,17.1,72
左營區,Y,商業區,0.6,Y,32.6,250
楠梓區,Y,住宅區,0.6,Y,17,0
鼓山區,Y,住宅區,0.6,Y,33.8,320
鳳山區,Y,住宅區,14.8,Y,18.4,0
鼓山區,Y,商業區,7.8,Y,21.7,0
楠梓區,N,商業區,6.7,Y,15.9,0
三民區,Y,商業區,19.7,Y,14.5,0
鳳山區,Y,住宅區,2.2,Y,17.8,120
楠梓區,Y,商業區,5.3,N,16,0
左營區,Y,商業區,0.6,Y,33.6,170
三民區,N,商業區,0.8,Y,22,0
鼓山區,Y,商業區,0.8,Y,29.3,0
左營區,Y,住宅區,0.3,Y,19.5,0
岡山區,Y,住宅區,25.1,Y,11,0
左營區,Y,住宅區,23.6,Y,11.8,0
左營區,Y,住宅區,1.2,Y,27,660
左營區,Y,商業區,0.6,Y,27.9,150
左營區,Y,住宅區,5.2,Y,20.5,0
新興區,Y,商業區,17.3,Y,26.5,0
三民區,Y,住宅區,20.9,Y,11.5,0
楠梓區,Y,住宅區,3.7,Y,19.8,138
楠梓區,N,商業區,5.2,Y,17.6,0
左營區,Y,商業區,0.6,Y,33,160
左營區,Y,住宅區,0.7,Y,33,180
左營區,Y,商業區,22,N,17.3,0
三民區,Y,商業區,25.5,Y,7.6,0
鼓山區,Y,商業區,15.9,Y,19.3,0
左營區,Y,商業區,7.2,Y,21.7,0
左營區,Y,住宅區,23.8,Y,5.1,0
前鎮區,N,住宅區,5.8,Y,22.4,0
鳥松區,Y,其他,31.3,Y,12.1,0
左營區,Y,住宅區,4.7,Y,23.6,0
岡山區,Y,住宅區,25.1,Y,9.9,0
左營區,Y,住宅區,1.3,Y,24.3,208
楠梓區,Y,住宅區,1.3,N,17.2,0
鳳山區,Y,住宅區,23.8,N,13.5,0
鳳山區,Y,住宅區,12.7,Y,19.7,0
橋頭區,Y,商業區,0.6,Y,15.8,0
鳳山區,Y,住宅區,0.8,Y,19.8,0
鳳山區,Y,住宅區,12.8,Y,16.7,0
楠梓區,Y,商業區,1.2,Y,16.5,0
鼓山區,Y,商業區,12.7,Y,19.6,0
鼓山區,Y,商業區,0.8,Y,33,0
仁武區,Y,住宅區,1.6,Y,22,160
三民區,N,住宅區,3.9,Y,17.8,0
楠梓區,Y,商業區,1.2,Y,16.2,0
鼓山區,Y,商業區,14.8,Y,20,0
三民區,N,住宅區,6.8,Y,24.1,0
三民區,Y,住宅區,9.3,Y,19.1,0
鼓山區,Y,商業區,3.8,Y,51.1,690
鼓山區,Y,住宅區,11.3,Y,20.1,0
三民區,N,住宅區,5.1,Y,23.2,0
鼓山區,Y,住宅區,5.4,Y,25.9,300
左營區,Y,住宅區,0.8,Y,22,0
左營區,Y,商業區,7.2,Y,20.8,0
鼓山區,Y,住宅區,7,Y,22.3,0
三民區,Y,住宅區,21.5,Y,18,0
